建築名稱,英文名稱,高度(m),樓層,東西寬(m),南北長(m),投影面積(m²),估算總樓地板面積(m²),結構類型,OSM建築類型,NLSC高度,NLSC建物ID,OSM ID
梅竹山莊,,79.71,22,71.0,46.7,2166.4,47661.0,鋼筋混凝土(RC),apartments,79.71,2C9JC72JVQ,138076312
梅竹山莊,,79.45,22,71.5,47.9,2227.9,49014.0,鋼筋混凝土(RC),apartments,79.45,2CA8S72JV8,138076307
梅竹山莊,,76.14,22,41.3,24.9,959.8,21116.0,鋼筋混凝土(RC),apartments,76.14,2C92572K47,138076303
和選旅,The HO,61.65,,109.3,55.3,2874.6,,鋼筋混凝土(RC),hotel,61.65,2CC8U72JK2,774031997
,,59.11,,119.8,86.8,3424.8,,鋼筋混凝土(RC),apartments,59.11,2CDEB72Q17,797855962
,,58.42,,80.6,70.0,2130.0,,鋼筋混凝土(RC),apartments,58.42,2CDDC72PJH,797855964
太空計畫室高層廠房,,55.61,,67.5,89.7,3634.0,,鋼筋混凝土(RC),industrial,55.61,2CAFR72CQE,134993819
,,54.75,,22.5,38.3,501.6,,鋼筋混凝土(RC),industrial,54.75,2CAB672CF8,1158164749
奈米電子研究大樓,Nano Electronics Research Building,48.21,,49.2,77.4,2069.7,,鋼筋混凝土(RC),university,48.21,2C9VW72DFM,272402314
女二舍A棟,Female Student Dormitory 2A,46.76,10,55.5,38.5,1171.4,11714.0,鋼筋混凝土(RC),dormitory,46.76,2C93W72D99,135632272
,,46.32,,26.2,23.8,334.8,,鋼筋混凝土(RC),yes,46.32,2CB4C72NSL,1070588283
工程五館,,45.77,10,93.1,80.4,4491.1,44911.0,鋼筋混凝土(RC),university,45.77,2C6N472EGT,135404506
頎邦科技展業二廠,Chipbond Technology Corporation,45.74,9,54.6,111.3,4121.9,37097.0,鋼筋混凝土(RC),industrial,45.74,2CCK672EGM,217711047
hosh pagamisa (condo),,45.67,,51.3,60.0,2059.8,,鋼筋混凝土(RC),apartments,45.67,2BXVD72D0B,1430527681
綜合一館,,45.38,11,99.9,79.3,6722.8,73951.0,鋼筋混凝土(RC),university,45.38,2C71R72D81,134753275
女二舍B棟,Female Student Dormitory 2B,44.67,10,41.1,38.3,965.9,9659.0,鋼筋混凝土(RC),dormitory,44.67,2C8GQ72DED,135632302
研三舍,,43.22,11,102.2,55.3,3186.8,35055.0,鋼筋混凝土(RC),dormitory,43.22,2C6MH72CD6,1095872562
,,42.76,8,106.5,70.5,6070.9,48567.0,鋼筋混凝土(RC),industrial,42.76,2CDH972AJC,217672523
,,42.11,,91.9,89.8,4282.0,,鋼筋混凝土(RC),industrial,42.11,2C7BV7290C,217704602
,,41.17,,62.2,94.8,4665.1,,鋼筋混凝土(RC),industrial,41.17,2CDM872B7V,217711048
清齋,Dormitory Ching,41.13,,96.0,75.0,2327.0,,鋼筋混凝土(RC),dormitory,41.13,2C2G172LJ9,180522502
工程四館,Engineering Building 4,40.45,9,47.8,79.9,2862.8,25765.0,鋼筋混凝土(RC),university,40.45,2C6DC72G32,134752750
,,40.29,,14.7,4.7,24.9,,鋼筋混凝土(RC),yes,40.29,2C34772L38,1075281720
田家炳光電大樓,Tin Ka-Ping Photonic Building,40.02,8,84.4,39.0,2841.4,22731.0,鋼筋混凝土(RC),university,40.02,2C57R72GFV,135631955
工程一館,Engineering Building I,39.29,,104.4,64.6,2440.1,,鋼筋混凝土(RC),university,39.29,2C5AP72Q7X,180365526
電子資訊大樓,Microelectronics and Information Systems Research Center,39.11,8,70.2,88.6,2697.3,21578.0,鋼筋混凝土(RC),permanent,39.11,2CB2D72F6W,134795769
學生十三舍,Student Dormitory 13,38.5,9,59.6,38.5,1177.6,10598.0,鋼筋混凝土(RC),dormitory,38.50,2C5P472CJ4,203099359
研二舍,Graduate Student Dormitory 2,38.21,8,20.9,58.3,877.9,7023.0,鋼筋混凝土(RC),dormitory,38.21,2C4PR72DC7,203099355
浩然圖書資訊中心,Library and Information Center,37.68,9,54.8,118.9,5478.9,49310.0,鋼筋混凝土(RC),university,37.68,2C7X172F4G,135404493
物理館,Physics Building,37.39,,77.6,48.5,3074.0,,鋼筋混凝土(RC),university,37.39,2C1HG72PPB,180522523
新齋,Dormitory Hsin,36.8,,69.9,33.2,1250.3,,鋼筋混凝土(RC),dormitory,36.80,2C2A972M0M,180522528
上詮,,36.75,,61.4,56.7,2262.6,,鋼筋混凝土(RC),industrial,36.75,2C9SM72BJX,217677909
交映樓,CPT Building,36.1,7,64.2,21.4,1124.6,7872.0,鋼筋混凝土(RC),university,36.10,2C56P72FN0,135631888
生醫工程與環境科學館,Biomedical Engineering and Environmental Sciences Building,35.93,,78.2,46.9,1786.8,,鋼筋混凝土(RC),university,35.93,2C0SK72J8P,180607994
,,34.98,,34.2,30.6,340.9,,鋼筋混凝土(RC),yes,34.98,2C73772LW2,257198641
生物科技館,Biological Science and Technology Building,34.97,,52.9,38.0,1930.6,,鋼筋混凝土(RC),university,34.97,2C0MK72JJ3,180607989
工程六館,Engineering Building 6,34.89,7,76.3,64.2,3564.1,24949.0,鋼筋混凝土(RC),university,34.89,2C5QD72EX8,134794408
第三綜合大樓,General Building III,34.86,,60.7,70.0,2116.3,,鋼筋混凝土(RC),university,34.86,2C2LX72Q3D,180522503
第二綜合大樓,General Building II,34.48,,77.9,40.2,2112.8,,鋼筋混凝土(RC),university,34.48,2C2KJ72PRP,180522500
,,34.45,,84.0,83.7,3374.9,,鋼筋混凝土(RC),industrial,34.45,2C44S728QC,295387551
清大學人宿舍,,34.24,7,55.0,26.4,798.5,5590.0,鋼筋混凝土(RC),dormitory,34.24,2C7Q672KHC,747962787
雅砌,,33.52,,35.4,28.0,572.5,,鋼筋混凝土(RC),residential,33.52,2C8JJ72JN0,286652503
教育大樓,,33.24,,86.2,54.9,1914.5,,鋼筋混凝土(RC),yes,33.24,2CBEU72M0F,537349264
竹科同業工會,,33.1,,48.8,31.6,957.7,,鋼筋混凝土(RC),industrial,33.10,2CBRD72AL1,217704605
奈米電子研究大樓,Nano Electronics Research Building,33.08,>2,60.1,88.8,2837.8,5676.0,鋼筋混凝土(RC),university,33.08,2CA6672E7Q,272402313
人社一館,HA Building 1,33.0,3,57.9,29.3,1253.4,3760.0,鋼筋混凝土(RC),university,33.00,2C86F72GEH,135992304
,,32.6,,64.1,55.2,1914.9,,鋼筋混凝土(RC),industrial,32.60,2BXH6728LX,187807230
頎邦科技展業一廠,Chipbond Technology Corporation,32.27,6,55.3,103.3,3850.4,23102.0,鋼筋混凝土(RC),industrial,32.27,2CC7S72DCA,217711046
新代科技,,32.26,,143.8,94.8,6378.3,,鋼筋混凝土(RC),industrial,32.26,2C909728FP,217704601
學十二舍,Student Dormitory 12,32.1,7,58.0,49.1,1057.5,7402.0,鋼筋混凝土(RC),dormitory,32.10,2C52472CU2,203099357
,,32.02,,27.7,26.2,464.1,,鋼筋混凝土(RC),residential,32.02,2C7MB72K23,286652652
,,31.64,,29.6,25.1,441.8,,鋼筋混凝土(RC),residential,31.64,2C7H772K0V,286652787
台灣光罩,,31.45,,87.8,99.6,4180.8,,鋼筋混凝土(RC),industrial,31.45,2CCA072FGR,217704598
,,31.32,,24.1,23.7,289.0,,鋼筋混凝土(RC),yes,31.32,2CB9672NG3,1070588297
管理二館,Management Building 2,30.4,6,37.3,73.9,1852.6,11116.0,鋼筋混凝土(RC),university,30.40,2C7V872E3Q,134753729
工程三館,Engineering Building 3,30.16,8,52.3,73.0,2270.3,18162.0,鋼筋混凝土(RC),university,30.16,2C6HU72FK0,134752749
T-house,,29.63,,5.6,11.1,57.7,,鋼筋混凝土(RC),yes,29.63,2C4AK72KVM,585282248
,,29.44,,21.2,19.5,263.8,,鋼筋混凝土(RC),residential,29.44,2C85A72JUT,286652785
