Total buildings: 319
Named buildings: 185

24k [levels:?, type:yes]
BTB+ [levels:?, type:industrial]
Morning House早餐 (Morning-House Breakfasts) [levels:?, type:yes]
NOVA [levels:?, type:yes]
T-house [levels:?, type:yes]
hosh pagamisa (condo) [levels:?, type:apartments]
三合院 (Three-Section Compound) [levels:?, type:house]
上詮 [levels:?, type:industrial]
中正堂 (Chung Cheng Auditorium) [levels:4, type:university]
九期丁棟 [levels:?, type:commercial]
九期丙棟 [levels:?, type:industrial]
九期己棟 [levels:?, type:industrial]
九期庚棟 [levels:?, type:industrial]
九期戊棟 [levels:?, type:industrial]
交大學人宿舍 [levels:?, type:dormitory]
交映樓 (CPT Building) [levels:7, type:university]
交誼廳與自習室 (Common Room & Self-Study Room) [levels:1, type:dormitory]
人社一館 (HA Building 1) [levels:3, type:university]
人社三館 (HA Building 3) [levels:6, type:university]
人社二舘 (HA Building 2) [levels:4, type:university]
仁齋 (Dormitory Jen) [levels:4, type:dormitory]
仙宮社區福德宮 [levels:?, type:yes]
信齋A (Dormitory Shinn A) [levels:?, type:dormitory]
信齋B (Dormitory Shinn B) [levels:?, type:dormitory]
信齋C (Dormitory Shinn C) [levels:?, type:dormitory]
儀光大樓 (Instrumentation Building) [levels:?, type:industrial]
儒齋 [levels:?, type:dormitory]
儲存環館(TLS) (Taiwan Light Source (TLS)) [levels:?, type:industrial]
兆豐國際商業銀行 (Mega International Commercial Bank) [levels:?, type:industrial]
光明福德宮 [levels:?, type:temple]
光環科技 [levels:?, type:industrial]
光華開發 [levels:?, type:industrial]
利翔航太電子 [levels:2, type:industrial]
劉炯朗館 (Chung Laung Liu Building) [levels:8, type:university]
加速器館 (Accelerator Building) [levels:?, type:university]
北大門 (North Gate) [levels:?, type:hut]
南大門 [levels:?, type:hut]
南校區實驗室廢水處理廠 [levels:?, type:university]
博學苑 [levels:?, type:residential]
原子爐 (Nuclear Reactor Building) [levels:?, type:permanent]
台楊科技 [levels:?, type:industrial]
台灣中油 (CPC Corporation, Taiwan) [levels:?, type:yes]
台灣中油桃竹苗營業處 [levels:?, type:commercial]
台灣光罩 [levels:?, type:industrial]
台灣應用材料 [levels:?, type:industrial]
司令台 (Stage) [levels:1, type:shed]
合勤演藝廳 (ZyXEL Auditorium) [levels:?, type:university]
同位素館 (Radioisotope Laboratory) [levels:?, type:university]
名人堂 (Guest House I: Pai Ling Hall) [levels:?, type:university]
和選旅 (The HO) [levels:?, type:hotel]
善齋 (Dormitory Shan) [levels:?, type:dormitory]
固態電子系統大樓 (Solid-State Electronics Building) [levels:3, type:university]
國家實驗研究院儀器科技研究中心 [levels:?, type:industrial]
國家度量衡標準實驗室 [levels:?, type:office]
國家高速網路與計算中心 (National Center for High-performance Computing) [levels:4, type:industrial]
園區員工診所 [levels:?, type:industrial]
土木結構實驗室 (Civil Engineering Lab) [levels:5, type:university]
大學涵館 [levels:?, type:residential]
大禮堂 (Auditorium) [levels:?, type:university]
天主聖神堂 (Holy Spirit Catholic Church) [levels:?, type:church]
太空計畫室測試大樓 [levels:?, type:industrial]
太空計畫室高層廠房 [levels:?, type:industrial]
奈米電子研究大樓 (Nano Electronics Research Building) [levels:>2, type:university]
奈米電子研究大樓 (Nano Electronics Research Building) [levels:?, type:university]
女二舍A棟 (Female Student Dormitory 2A) [levels:10, type:dormitory]
女二舍B棟 (Female Student Dormitory 2B) [levels:10, type:dormitory]
學十二舍 (Student Dormitory 12) [levels:7, type:dormitory]
學生七舍 (Student Dormitory 7) [levels:3, type:dormitory]
學生九舍 (Student Dormitory 9) [levels:4, type:dormitory]
學生八舍 (Student Dormitory 8) [levels:4, type:dormitory]
學生十一舍 [levels:5, type:dormitory]
學生十三舍 (Student Dormitory 13) [levels:9, type:dormitory]
學生十舍 (Student Dormitory 10) [levels:5, type:dormitory]
學生活動中心 [levels:6, type:university]
學齋 (Dormitory Shiue) [levels:?, type:dormitory]
實齋 (Dormitory Shyr) [levels:3, type:dormitory]
實齋交誼廳 (Dormitory Shyr Lounge) [levels:?, type:dormitory]
小吃部 (Food Court) [levels:?, type:university]
小吃部 [levels:?, type:yes]
小木屋鬆餅 [levels:?, type:yes]
工科館 (Engineering and System Science Building) [levels:?, type:university]
工程一館 (Engineering Building 1) [levels:2, type:university]
工程一館 (Engineering Building I) [levels:?, type:university]
工程三館 (Engineering Building 3) [levels:8, type:university]
工程二館 (Engineering Building 2) [levels:4, type:university]
工程五館 [levels:10, type:university]
工程六館 (Engineering Building 6) [levels:7, type:university]
工程四館 (Engineering Building 4) [levels:9, type:university]
平齋 (Dormitory Ping) [levels:?, type:dormitory]
康樂中心 [levels:?, type:yes]
影咖啡 Inn Caffe將軍村門市 [levels:?, type:yes]
慧齋 (Dormitory Huei) [levels:?, type:dormitory]
拉亞漢堡 (Laya Burger) [levels:?, type:yes]
捷英文物館 [levels:?, type:yes]
揚明光學 [levels:?, type:industrial]
教室大樓 [levels:?, type:yes]
教育大樓 [levels:?, type:yes]
文齋 (Dormitory Wen) [levels:?, type:dormitory]
新代科技 [levels:?, type:industrial]
新竹市召會學生中心 [levels:6, type:residential]
新體育館 (New Stadium) [levels:?, type:university]
新齋 (Dormitory Hsin) [levels:?, type:dormitory]
明齋 (Dormitory Ming) [levels:?, type:dormitory]
智易科技 [levels:?, type:industrial]
服務大樓 [levels:4, type:industrial]
桌球館 (Table Tennis Court) [levels:?, type:university]
梅竹山莊 [levels:22, type:apartments]
梅竹山莊 [levels:22, type:apartments]
梅竹山莊 [levels:22, type:apartments]
梅竹會館 [levels:?, type:residential]
